Table 4-51:  Air Pollution Trends in Selected Metropolitan Statistical Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Number of days with AQI values greater than 100 at monitoring sites),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sites in 2010,Sites in 2020,Number of days with AQI > 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hartford-West Hartford-East Hartford, CT",9,8,96,54,30,41,29,32,38,37,21,29,30,36,24,35,43,20,21,26,24,31,18,6,15,9,22,14,15,16,16,9,10,8,2
"Hilo, HI",13,19,N,N,46,69,116,87,64,130,125,77,51,55,55,77,114,132,130,110,117,152,349,351,344,271,339,304,269,304,311,301,170,0,11
"Houston-Sugarland-Baytown, TX",50,40,189,163,157,135,118,116,137,157,145,118,97,112,103,99,79,93,94,116,87,60,47,34,44,57,48,25,14,45,23,25,35,31,24
"Indianapolis-Carmel, IN",(R) 26,32,218,241,128,92,93,119,129,88,79,61,117,134,120,70,69,67,59,93,56,81,25,26,32,42,38,15,31,5,12,9,16,5,7
"Jacksonville, FL",(R) 20,22,89,74,85,59,57,60,64,41,40,48,57,47,84,46,61,24,30,31,40,23,14,6,21,21,5,2,5,1,0,1,7,1,6
"Kansas City, MO-KS",37,38,186,77,39,57,26,28,50,82,80,59,54,45,60,46,53,88,46,76,83,56,44,51,41,67,87,50,57,41,7,7,13,1,5
"Knoxville, TN",56,55,170,179,135,103,82,129,89,124,134,129,138,168,134,125,147,112,110,130,111,131,95,22,40,40,25,2,2,2,14,1,2,3,0
"Las Vegas-Paradise, NV",(R) 29,38,121,103,73,36,41,42,60,31,71,32,75,74,56,77,68,68,47,64,63,49,33,22,33,49,53,38,16,23,26,29,49,5,25
"Little Rock-North Little Rock-Conway, AR",8,5,46,17,37,26,10,5,14,42,15,20,26,29,41,33,31,15,12,44,21,22,4,4,8,18,17,3,3,0,0,1,2,0,2
"Los Angeles-Long Beach-Anaheim, CA",58,60,288,274,235,234,244,229,220,216,172,162,120,170,178,187,182,173,161,139,131,128,129,123,115,121,132,103,(R) 108,134,108,122,110,91,141
"Louisville/Jefferson County, KY-IN",28,29,311,243,120,120,78,119,127,110,96,127,144,155,128,134,106,77,77,105,80,114,72,38,63,49,56,4,32,14,19,6,11,4,7
"Madison, WI",10,10,88,18,7,20,17,5,9,24,15,10,14,17,8,13,19,17,5,18,2,19,3,5,4,2,13,1,3,1,3,0,2,0,5
"McAllen-Edinburg-Mission, TX",3,4,N,N,N,N,N,N,N,N,0,2,5,7,7,8,5,9,2,7,0,1,2,0,0,1,0,1,0,1,1,0,4,2,5
"Memphis, TN-MS-AR",30,32,230,158,114,97,108,85,87,75,52,63,87,84,76,67,58,62,37,92,58,56,24,9,24,35,37,5,4,5,8,4,11,5,4
"Miami-Fort Lauderdale-West Palm Beach, FL",(R) 30,34,90,20,9,5,21,32,22,22,13,17,35,29,26,15,7,7,14,12,17,13,8,4,6,9,4,5,5,1,6,8,4,2,2
"Milwaukee-Waukesha-West Allis, WI",27,28,161,98,67,82,39,26,34,42,27,39,45,61,27,42,47,32,16,41,12,22,6,10,14,11,32,4,9,5,9,8,9,3,7
"Minneapolis-St. Paul-Bloomington, MN-WI",84,122,190,160,117,105,91,36,24,45,21,14,12,18,27,30,18,35,18,27,10,13,4,9,12,3,8,4,2,6,5,1,5,3,3
"Nashville-Davidson-Murfreesboro-Franklin, TN",50,51,221,144,205,168,120,151,141,116,121,119,105,158,96,58,55,43,22,55,36,71,24,3,28,20,31,1,7,1,6,1,7,1,2
"New Haven-Milford, CT",9,10,75,104,76,64,31,35,45,28,22,30,26,36,27,37,48,35,16,36,22,30,18,5,18,15,26,15,8,16,14,12,14,14,13
"New Orleans-Metairie, LA",18,28,40,52,38,29,32,38,43,59,44,42,42,63,77,44,21,34,35,43,31,81,88,98,72,99,50,27,17,8,11,2,6,2,0
"New York-Newark-Jersey City, NY-NJ-PA",(R) 70,57,295,237,131,145,101,112,111,87,83,80,87,91,71,95,90,68,56,76,68,66,52,35,61,33,39,21,17,38,30,19,27,16,11
"Oklahoma City, OK",10,11,32,34,21,25,14,14,39,45,22,25,60,33,36,39,36,31,13,33,51,10,10,16,11,44,39,8,5,2,3,7,12,2,5
"Omaha-Council Bluffs, NE-IA",(R) 32,30,94,22,8,4,3,1,9,20,20,20,14,14,17,10,15,14,12,30,18,19,13,5,13,6,23,5,3,5,4,2,5,0,2
"Orlando-Kissimmee-Sanford, FL",(R) 10,11,12,7,23,7,19,22,16,22,12,21,35,28,33,20,12,15,14,21,23,18,6,3,8,12,7,3,2,1,1,3,3,6,0
"Oxnard-Thousand Oaks-Ventura, CA",8,7,161,157,139,160,122,92,129,128,128,116,76,83,84,84,66,96,80,62,52,43,57,40,18,16,32,11,15,13,9,33,17,9,26
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",46,45,242,189,167,141,126,182,187,161,173,153,126,115,87,117,124,103,68,86,81,60,50,24,48,31,43,19,21,30,20,22,19,16,8
"Phoenix-Mesa-Scottsdale, AZ",(R) 57,56,211,268,108,83,113,145,71,106,107,122,165,199,167,88,91,85,55,91,267,222,201,78,59,133,111,105,119,70,75,95,85,54,230
"Pittsburgh, PA",(R) 34,29,303,296,288,288,267,272,256,196,199,197,204,217,166,178,175,149,134,151,117,115,102,73,83,60,67,24,22,32,30,32,25,16,14
